game_id,league_id,team,team_id,opponent,opponent_id,game_date,quarter,score,score_against
1_741606,1,א.ס. עירוני אשקלון,9810d8dd0df2,מכבי אשדוד,dca52004fb4f,,Q4,24,20
1_741607,1,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,מ.ס צפת,1f1048db2f34,,Q1,23,23
1_741607,1,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,מ.ס צפת,1f1048db2f34,,Q2,23,8
1_741607,1,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,מ.ס צפת,1f1048db2f34,,Q3,23,31
1_741607,1,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,מ.ס צפת,1f1048db2f34,,Q4,21,18
1_741607,1,מ.ס צפת,1f1048db2f34,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,,Q1,23,23
1_741607,1,מ.ס צפת,1f1048db2f34,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,,Q2,8,23
1_741607,1,מ.ס צפת,1f1048db2f34,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,,Q3,31,23
1_741607,1,מ.ס צפת,1f1048db2f34,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,,Q4,18,21
1_741601,1,מ.כ עוטף דרום,784ddf8d2dae,א.ס. אשקלון/קרית גת,99710d529fc8,,Q1,24,22
1_741601,1,מ.כ עוטף דרום,784ddf8d2dae,א.ס. אשקלון/קרית גת,99710d529fc8,,Q2,26,16
1_741601,1,מ.כ עוטף דרום,784ddf8d2dae,א.ס. אשקלון/קרית גת,99710d529fc8,,Q3,24,30
1_741601,1,מ.כ עוטף דרום,784ddf8d2dae,א.ס. אשקלון/קרית גת,99710d529fc8,,Q4,20,19
1_741601,1,א.ס. אשקלון/קרית גת,99710d529fc8,מ.כ עוטף דרום,784ddf8d2dae,,Q1,22,24
1_741601,1,א.ס. אשקלון/קרית גת,99710d529fc8,מ.כ עוטף דרום,784ddf8d2dae,,Q2,16,26
1_741601,1,א.ס. אשקלון/קרית גת,99710d529fc8,מ.כ עוטף דרום,784ddf8d2dae,,Q3,30,24
1_741601,1,א.ס. אשקלון/קרית גת,99710d529fc8,מ.כ עוטף דרום,784ddf8d2dae,,Q4,19,20
